site,sampleID,interval,rmcd,d13C,d18O
1168A,35X1W,20–25,320.2,-0.32,1.33
1168A,35X3W,20–25,323.2,-0.13,1.84
1168A,35X4W,20–25,324.7,-2.15,1.5
1168A,35X6W,20–25,327.7,0.83,1.37
1168A,36X1W,20–25,329.83,0.79,1.52
1168A,36X3W,20–25,332.83,-0.42,1.58
1168A,36X4W,20–25,334.33,0.81,1.09
1168A,36X5W,20–25,335.83,-0.08,1.77
1168A,36X7W,20–25,338.83,-0.36,1.56
1168A,37X1W,20–25,339.8,0.35,1.97
1168A,37X2W,20–25,341.3,-0.54,2.2
1168A,37X3W,20–25,342.8,-1.63,1.56
1168A,37X4W,20–25,344.3,-0.22,1.1
1168A,37X5W,20–25,345.8,0.57,1.95
1168A,37X6W,20–25,347.3,0.29,1.77
1168A,37X7W,20–25,348.8,-0.13,1.43
1168A,38X2W,20–22,351.14,0.45,1.59
1168A,38X3W,20–22,352.64,-0.14,1.32
1168A,38X4W,20–22,354.14,0.12,1.38
1168A,38X5W,20–22,355.64,0.12,1.68
1168A,38X6W,20–22,357.14,0.16,1.37
1168A,39X1W,20–22,359.24,-0.35,1.38
1168A,39X2W,20–22,360.74,0.98,1.45
1168A,39X3W,20–22,362.24,0.36,1.62
1168A,39X5W,20–22,365.24,0.44,1.63
1168A,39X7W,20–22,367.96,0.52,1.74
1168A,40X1W,20–22,368.77,0.3,1.71
1168A,40X1W,60–62,369.17,0.11,1.37
1168A,40X1W,95–97,369.52,-0.29,0.92
1168A,40X2W,20–22,370.27,-0.16,1.29
1168A,40X2W,60–62,370.67,-0.84,1.34
1168A,40X2W,95–97,371.02,-0.79,1.05
1168A,40X3W,62–64,372.19,0.4,1.64
1168A,40X3W,95–97,372.52,0.5,1.3
1168A,40X3W,95–97,372.52,0.56,1.38
1168A,40X4W,20–22,373.27,0.18,1.9
1168A,40X4W,62–64,373.69,0.32,1.52
1168A,40X4W,95–97,374.02,-0.13,1.35
1168A,40X5W,20–22,374.77,0.58,1.66
1168A,40X5W,58–60,375.15,0.4,1.17
1168A,40X6W,20–22,376.27,0.24,1.39
1168A,40X6W,58–60,376.65,0.31,1.17
1168A,40X6W,95–97,377.02,0.1,1.34
1168A,41X1W,20–22,378.5,1.03,1.03
1168A,41X1W,62–64,378.92,0.32,1.36
1168A,41X1W,62–64,378.92,0.32,1.43
1168A,41X2W,20–22,380,-0.01,1.39
