site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,2H1W,33–35,10.20,0.73,2.28,,,,,,,,
1168A,2H1W,47.5–49.5,10.35,0.67,2.48,,,,,,,,
1168A,2H1W,62–64,10.49,0.64,1.85,,,,,,,,
1168A,2H1W,72.5–74.5,10.60,1.23,2.40,,,,,,,,
1168A,2H1W,"87,5–89,5",10.75,0.96,1.82,,,,,,,,
1168A,2H1W,102.5–104.5,10.90,0.96,2.31,,,,,,,,
1168A,2H1W,116–119,11.03,1.05,2.33,,,,,,,,
1168A,2H1W,127–129,11.14,1.10,2.16,,,,,,,,
1168A,2H1W,137.5–139.5,11.25,1.05,2.16,,,,,,,,
1168A,2H2W,7–9,11.44,0.70,2.67,,,,,,,,
1168A,2H2W,23–25,11.60,0.93,2.61,,,,,,,,
1168A,2H2W,32–34,11.69,0.59,2.18,,,,,,,,
1168A,2H2W,47–49,11.84,1.06,2.22,,,,,,,,
1168A,2H2W,62–64,11.99,0.83,2.26,,,,,,,,
1168A,2H2W,72–74,12.09,0.62,2.32,,,,,,,,
1168A,2H2W,87–89,12.24,0.80,2.17,,,,,,,,
1168A,2H2W,102–104,12.39,0.85,2.18,,,,,,,,
1168A,2H2W,112–115,12.49,1.01,2.19,,,,,,,,
1168A,2H2W,127–129,12.64,1.22,2.24,,,,,,,,
1168A,2H2W,137–139,12.74,0.99,2.31,,,,,,,,
1168A,2H3W,8–10,12.95,0.30,2.04,,,,,,,,
1168A,2H3W,23–25,13.10,0.14,2.06,,,,,,,,
1168A,2H3W,36–38,13.23,0.33,2.19,,,,,,,,
1168A,2H3W,48–51,13.36,0.42,2.18,,,,,,,,
1168A,2H3W,62–64,13.49,0.53,1.97,,,,,,,,
1168A,2H3W,75–77,13.62,0.27,2.03,,,,,,,,
1168A,2H3W,88–90,13.75,-0.03,2.12,,,,,,,,
1168A,2H3W,101–103,13.88,-0.04,2.01,,,,,,,,
1168A,2H3W,114–116,14.01,0.21,1.95,,,,,,,,
1168A,2H3W,127–129,14.14,0.35,2.10,,,,,,,,
1168A,2H3W,140–142,14.27,0.41,2.14,,,,,,,,
1168A,2H4W,11.5–13.5,14.49,0.52,2.16,,,,,,,,
1168A,2H4W,23–25,14.60,0.64,2.23,,,,,,,,
1168A,2H4W,37–39,14.74,0.56,2.10,,,,,,,,
1168A,2H4W,49–51,14.86,0.71,2.03,,,,,,,,
1168A,2H4W,62–64,14.99,0.88,2.25,,,,,,,,
1168A,2H4W,75–77,15.12,0.62,2.15,,,,,,,,
1168A,2H4W,88–90,15.25,0.55,1.96,,,,,,,,
1168A,2H4W,102–104,15.39,0.52,2.01,,,,,,,,
1168A,2H4W,114–116,15.51,0.63,2.14,,,,,,,,
1168A,2H4W,127–129,15.64,0.45,2.02,,,,,,,,
1168A,2H4W,140–142,15.77,1.07,2.20,,,,,,,,
1168A,2H5W,7–9,15.94,1.12,2.10,,,,,,,,
1168A,2H5W,21–23,16.08,0.95,2.16,,,,,,,,
1168A,2H5W,33–35,16.20,1.10,2.20,,,,,,,,
1168A,2H5W,49–51,16.36,2.12,2.63,,,,,,,,
1168A,2H5W,62–64,16.49,1.46,2.38,,,,,,,,
1168A,2H5W,75–77,16.62,1.81,2.23,,,,,,,,
1168A,2H5W,88–90,16.75,1.35,2.21,,,,,,,,
1168A,2H5W,101–103,16.88,-0.03,2.06,,,,,,,,
1168A,2H5W,114–117,17.01,0.59,2.04,,,,,,,,
1168A,2H5W,127–129,17.14,0.76,1.91,,,,,,,,
1168A,2H5W,140–142,17.27,0.48,1.83,,,,,,,,
1168A,2H6W,8–10,17.45,0.51,2.07,,,,,,,,
1168A,2H6W,23–25,17.60,0.74,1.78,,,,,,,,
1168A,2H6W,36–38,17.73,0.70,1.80,,,,,,,,
1168A,2H6W,50–52,17.87,-0.04,1.92,,,,,,,,
1168A,2H6W,62–64,17.99,-0.01,1.86,,,,,,,,
1168A,2H6W,75–77,18.12,0.03,2.04,,,,,,,,
1168A,2H6W,88–90,18.25,0.83,2.14,,,,,,,,
1168A,2H6W,101–103,18.38,0.50,1.70,,,,,,,,
1168A,2H6W,114–117,18.51,0.48,1.79,,,,,,,,
1168A,2H6W,127–129,18.64,0.46,2.11,,,,,,,,
1168A,2H6W,140–142,18.77,0.44,2.21,,,,,,,,
1168A,2H7W,5–7,18.92,0.82,2.30,,,,,,,,
1168A,2H7W,18–20,19.05,0.74,2.13,,,,,,,,
